development_run_count,repetition,training_rows,test_runs,test_rows,mae_ms,rmse_ms,r2,median_absolute_error_ms,p95_absolute_error_ms,p99_absolute_error_ms,selected_run_ids
10,14,12978,5,5996,144.99187107928833,367.90245636157476,0.06492356289025714,34.41662406921387,670.4107971191406,1741.2492237091085,training-s5.0-r2001-b0-m1.0-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.50-bd10-d60
15,14,19062,5,5996,264.0375349057964,701.7280122488075,-2.4018829403300628,35.06102180480957,1843.8330726623535,3118.680859375,training-s5.0-r2001-b0-m1.0-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60
5,15,6786,5,5996,171.61935837616184,414.47972263932013,-0.18682945378763538,27.510717630386353,848.8291473388672,1906.8369140625034,training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60
10,15,14046,5,5996,160.13860350222362,382.6665793698474,-0.01163257874030621,35.35431671142578,688.753173828125,1785.6179172515876,training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60
15,15,20870,5,5996,176.4724398048076,440.25077631458765,-0.339004385268729,35.24922752380371,894.3867797851562,2235.637609863282,training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60
5,16,6550,5,5996,156.89000044969484,411.4885738871054,-0.16976143439015012,23.778331756591797,828.5473785400391,1889.3209144115542,training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60
10,16,13326,5,5996,175.13751208672693,416.6377711583991,-0.199220425534693,35.59085273742676,826.1851425170898,1912.217894268036,training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60
15,16,19728,5,5996,161.29231912004056,388.2290552780688,-0.04125669939362209,35.01553153991699,734.3931579589844,1780.170472669602,training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2005-b1-m0.25-bd5-d60
5,17,7460,5,5996,183.9918705065616,441.43229305568923,-0.3462010972023566,44.223920822143555,819.4449615478516,2448.235095214847,training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60
10,17,13744,5,5996,157.48794091071497,362.74850218847513,0.09093906722274592,43.30173110961914,562.2804985046387,1702.449778366089,training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.50-bd10-d60
