condition,condition_label,strategy,strategy_label,metric,metric_label,n_runs,mean,std,median,q1,q3,min,max
strong-short-burst,Strong short burst,ml,ML,p95_backlog,P95 aggregate backlog,5,112.490000,43.896475,119.000000,78.000000,146.450000,58.000000,161.000000
strong-short-burst,Strong short burst,ml,ML,mean_queue_imbalance,Mean queue imbalance,5,9.412491,4.939697,10.131716,7.439084,13.451364,1.978579,14.061712
strong-short-burst,Strong short burst,ml,ML,p95_queue_imbalance,P95 queue imbalance,5,47.141806,23.602659,48.086523,33.980386,62.225397,15.520596,75.896128
strong-short-burst,Strong short burst,ml,ML,throughput_events_per_second,Throughput (events/s),5,4.837265,0.459066,4.672818,4.651036,5.113573,4.281940,5.466956
strong-short-burst,Strong short burst,ml,ML,recovery_time_seconds,Recovery time (s),5,23.313400,12.934724,26.432000,26.384000,30.578000,0.668000,32.505000
strong-short-burst,Strong short burst,ml,ML,median_routing_overhead_ms,Median routing overhead (ms),5,6.330716,0.246635,6.238228,6.188188,6.330888,6.142467,6.753811
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,median_queueing_latency_ms,Median realised waiting time (ms),5,25.200000,36.382688,5.000000,4.000000,26.000000,3.000000,88.000000
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,p95_queueing_latency_ms,P95 realised waiting time (ms),5,4048.890000,3504.972849,3157.600000,2137.250000,3415.450000,1386.150000,10148.000000
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,p99_queueing_latency_ms,P99 realised waiting time (ms),5,6180.814000,4710.596189,5123.550000,2959.590000,7515.930000,1688.000000,13617.000000
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,mean_backlog,Mean aggregate backlog,5,16.184848,12.878093,15.375000,5.843750,17.703125,5.078125,36.924242
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,p95_backlog,P95 aggregate backlog,5,58.400000,29.770791,52.000000,34.000000,68.000000,33.000000,105.000000
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,mean_queue_imbalance,Mean queue imbalance,5,5.546922,3.717461,5.928631,2.717942,6.574347,1.509968,11.003720
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,p95_queue_imbalance,P95 queue imbalance,5,26.681496,15.031818,24.513035,16.027754,32.055507,11.313708,49.497475
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,throughput_events_per_second,Throughput (events/s),5,4.533668,0.379911,4.429663,4.371381,4.740398,4.065621,5.061276
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,recovery_time_seconds,Recovery time (s),5,29.231400,9.146500,29.788000,21.868000,35.562000,18.517000,40.422000
moderate-long-burst,Moderate long burst,shortest-queue,Shortest queue,median_routing_overhead_ms,Median routing overhead (ms),5,0.159382,0.018891,0.153131,0.146737,0.162873,0.143658,0.190513
moderate-long-burst,Moderate long burst,little-law,Little's Law,median_queueing_latency_ms,Median realised waiting time (ms),5,4.000000,2.236068,3.000000,3.000000,3.000000,3.000000,8.000000
moderate-long-burst,Moderate long burst,little-law,Little's Law,p95_queueing_latency_ms,P95 realised waiting time (ms),5,1595.470000,1487.625176,961.600000,641.150000,1627.600000,594.750000,4152.250000
moderate-long-burst,Moderate long burst,little-law,Little's Law,p99_queueing_latency_ms,P99 realised waiting time (ms),5,2627.706000,2652.260408,1300.250000,1202.250000,2374.420000,987.470000,7274.140000
moderate-long-burst,Moderate long burst,little-law,Little's Law,mean_backlog,Mean aggregate backlog,5,6.088077,9.193836,1.815385,1.453125,3.531250,1.187500,22.453125
moderate-long-burst,Moderate long burst,little-law,Little's Law,p95_backlog,P95 aggregate backlog,5,25.270000,29.421327,12.000000,9.000000,24.000000,5.000000,76.350000
moderate-long-burst,Moderate long burst,little-law,Little's Law,mean_queue_imbalance,Mean queue imbalance,5,1.942190,2.634760,0.732691,0.594252,1.333191,0.434780,6.616038
moderate-long-burst,Moderate long burst,little-law,Little's Law,p95_queue_imbalance,P95 queue imbalance,5,11.533052,13.730135,4.966555,4.242641,11.313708,1.857726,35.284628
moderate-long-burst,Moderate long burst,little-law,Little's Law,throughput_events_per_second,Throughput (events/s),5,4.527122,0.384959,4.408620,4.364256,4.745179,4.057452,5.060101
moderate-long-burst,Moderate long burst,little-law,Little's Law,recovery_time_seconds,Recovery time (s),5,15.300400,7.188043,16.563000,12.342000,20.577000,4.508000,22.512000
moderate-long-burst,Moderate long burst,little-law,Little's Law,median_routing_overhead_ms,Median routing overhead (ms),5,0.153622,0.004574,0.153843,0.149552,0.155453,0.149075,0.160184
moderate-long-burst,Moderate long burst,ml,ML,median_queueing_latency_ms,Median realised waiting time (ms),5,53.900000,31.476976,36.000000,32.000000,65.000000,32.000000,104.500000
moderate-long-burst,Moderate long burst,ml,ML,p95_queueing_latency_ms,P95 realised waiting time (ms),5,2526.420000,1023.769794,2556.000000,1735.000000,3484.400000,1282.000000,3574.700000
moderate-long-burst,Moderate long burst,ml,ML,p99_queueing_latency_ms,P99 realised waiting time (ms),5,4410.830000,2630.020227,3894.560000,2250.250000,5967.390000,1833.860000,8108.090000
moderate-long-burst,Moderate long burst,ml,ML,mean_backlog,Mean aggregate backlog,5,18.236553,11.806764,20.151515,9.453125,24.609375,3.718750,33.250000
moderate-long-burst,Moderate long burst,ml,ML,p95_backlog,P95 aggregate backlog,5,63.200000,33.877721,54.000000,42.000000,91.000000,24.000000,105.000000
moderate-long-burst,Moderate long burst,ml,ML,mean_queue_imbalance,Mean queue imbalance,5,7.179164,4.248018,8.080552,4.347141,9.342020,1.648034,12.478073
moderate-long-burst,Moderate long burst,ml,ML,p95_queue_imbalance,P95 queue imbalance,5,24.676632,9.999821,25.455844,18.384776,32.873495,11.313708,35.355339
moderate-long-burst,Moderate long burst,ml,ML,throughput_events_per_second,Throughput (events/s),5,4.534883,0.399883,4.405165,4.365650,4.744024,4.057111,5.102467
moderate-long-burst,Moderate long burst,ml,ML,recovery_time_seconds,Recovery time (s),5,18.685800,16.898798,27.509000,0.500000,29.415000,0.429000,35.576000
moderate-long-burst,Moderate long burst,ml,ML,median_routing_overhead_ms,Median routing overhead (ms),5,6.393930,0.432429,6.235491,6.179693,6.326377,6.077614,7.150475
