condition,condition_label,metric,metric_label,first_strategy,second_strategy,random_seed,first_value,second_value,difference_first_minus_second
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1005,19.296875,16.031250,3.265625
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1001,47.923077,44.843750,3.079327
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1002,6.156250,4.765625,1.390625
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1003,37.109375,17.359375,19.750000
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1004,37.281250,19.031250,18.250000
strong-short-burst,Strong short burst,mean_backlog,Mean aggregate backlog,ml,little-law,1005,19.296875,9.523077,9.773798
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1001,161.000000,131.000000,30.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1002,58.000000,55.000000,3.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1003,146.450000,110.000000,36.450000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1004,119.000000,101.150000,17.850000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1005,78.000000,113.500000,-35.500000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1001,161.000000,140.000000,21.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1002,58.000000,49.000000,9.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1003,146.450000,79.000000,67.450000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1004,119.000000,89.000000,30.000000
strong-short-burst,Strong short burst,p95_backlog,P95 aggregate backlog,ml,little-law,1005,78.000000,81.000000,-3.000000
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1001,14.061712,8.160497,5.901215
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1002,1.978579,2.081857,-0.103278
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1003,13.451364,8.073557,5.377807
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1004,10.131716,6.885543,3.246173
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1005,7.439084,4.380381,3.058703
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1001,14.061712,11.381246,2.680466
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1002,1.978579,0.784398,1.194181
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1003,13.451364,5.174149,8.277215
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1004,10.131716,6.267136,3.864580
strong-short-burst,Strong short burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1005,7.439084,2.875903,4.563181
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1001,75.896128,40.554490,35.341638
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1002,15.520596,13.199327,2.321269
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1003,62.225397,51.854497,10.370900
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1004,48.086523,39.126575,8.959948
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1005,33.980386,26.809904,7.170482
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1001,75.896128,57.511352,18.384776
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1002,15.520596,6.944222,8.576374
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1003,62.225397,28.288199,33.937198
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1004,48.086523,41.955002,6.131521
strong-short-burst,Strong short burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1005,33.980386,19.096247,14.884139
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1001,5.466956,5.455062,0.011894
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1002,4.651036,4.683615,-0.032579
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1003,4.672818,4.673815,-0.000997
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1004,5.113573,5.116123,-0.002550
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1005,4.281940,4.307350,-0.025410
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1001,5.466956,5.454129,0.012827
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1002,4.651036,4.650463,0.000573
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1003,4.672818,4.643603,0.029215
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1004,5.113573,5.112508,0.001065
strong-short-burst,Strong short burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1005,4.281940,4.308570,-0.026630
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1001,30.578000,27.600000,2.978000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1002,0.668000,12.588000,-11.920000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1003,26.432000,22.375000,4.057000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1004,26.384000,28.348000,-1.964000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1005,32.505000,18.529000,13.976000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,little-law,1001,30.578000,33.575000,-2.997000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,little-law,1002,0.668000,0.464000,0.204000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,little-law,1003,26.432000,24.360000,2.072000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,little-law,1004,26.384000,18.435000,7.949000
strong-short-burst,Strong short burst,recovery_time_seconds,Recovery time (s),ml,little-law,1005,32.505000,11.477000,21.028000
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1001,6.188188,0.138893,6.049295
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1002,6.142467,0.143900,5.998566
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1003,6.753811,0.149690,6.604120
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1004,6.330888,0.145214,6.185674
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1005,6.238228,0.155499,6.082730
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1001,6.188188,0.155356,6.032832
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1002,6.142467,0.146235,5.996231
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1003,6.753811,0.161888,6.591923
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1004,6.330888,0.158093,6.172795
strong-short-burst,Strong short burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1005,6.238228,0.154013,6.084215
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1001,104.500000,26.000000,78.500000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1002,36.000000,88.000000,-52.000000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1003,32.000000,5.000000,27.000000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1004,65.000000,3.000000,62.000000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,shortest-queue,1005,32.000000,4.000000,28.000000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1001,104.500000,8.000000,96.500000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1002,36.000000,3.000000,33.000000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1003,32.000000,3.000000,29.000000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1004,65.000000,3.000000,62.000000
moderate-long-burst,Moderate long burst,median_queueing_latency_ms,Median realised waiting time (ms),ml,little-law,1005,32.000000,3.000000,29.000000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1001,3484.400000,3157.600000,326.800000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1002,1735.000000,10148.000000,-8413.000000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1003,2556.000000,3415.450000,-859.450000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1004,3574.700000,2137.250000,1437.450000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,shortest-queue,1005,1282.000000,1386.150000,-104.150000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1001,3484.400000,4152.250000,-667.850000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1002,1735.000000,594.750000,1140.250000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1003,2556.000000,961.600000,1594.400000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1004,3574.700000,1627.600000,1947.100000
moderate-long-burst,Moderate long burst,p95_queueing_latency_ms,P95 realised waiting time (ms),ml,little-law,1005,1282.000000,641.150000,640.850000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1001,8108.090000,5123.550000,2984.540000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1002,2250.250000,13617.000000,-11366.750000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1003,3894.560000,7515.930000,-3621.370000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1004,5967.390000,2959.590000,3007.800000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,shortest-queue,1005,1833.860000,1688.000000,145.860000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1001,8108.090000,7274.140000,833.950000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1002,2250.250000,1202.250000,1048.000000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1003,3894.560000,1300.250000,2594.310000
